Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,intel_svt_hevc,mv_universal,mountain_bike_sh,2000,0,2.7208856831960757,enc_res_intel_svt_hevc_mv_universal_mountain_bike_sh_2000
2018,intel_svt_hevc,mv_universal,mountain_bike_sh,4000,0,3.3539556436355324,enc_res_intel_svt_hevc_mv_universal_mountain_bike_sh_4000
2018,vitec_v3,mv_fast,mountain_bike_sh,1000,0,1.927783253679288,enc_res_vitec_v3_mv_fast_mountain_bike_sh_1000
2018,vitec_v3,mv_fast,mountain_bike_sh,2000,0,3.280115922862558,enc_res_vitec_v3_mv_fast_mountain_bike_sh_2000
2018,vitec_v3,mv_fast,mountain_bike_sh,4000,0,3.6605523973502274,enc_res_vitec_v3_mv_fast_mountain_bike_sh_4000
2018,divx,mv_ripping,playground_sh,1000,0,3.323799617378005,enc_res_divx_mv_ripping_playground_sh_1000
2018,divx,mv_ripping,playground_sh,2000,0,4.983915481745688,enc_res_divx_mv_ripping_playground_sh_2000
2018,divx,mv_ripping,playground_sh,4000,0,5.959229531359718,enc_res_divx_mv_ripping_playground_sh_4000
2018,huawei1,mv_ripping,playground_sh,1000,0,0.0,enc_res_huawei1_mv_ripping_playground_sh_1000
2018,huawei1,mv_ripping,playground_sh,2000,0,0.0,enc_res_huawei1_mv_ripping_playground_sh_2000
2018,huawei1,mv_ripping,playground_sh,4000,0,0.0,enc_res_huawei1_mv_ripping_playground_sh_4000
2018,intel_mfx_sw,mv_ripping,playground_sh,1000,0,2.039054216070975,enc_res_intel_mfx_sw_mv_ripping_playground_sh_1000
2018,intel_mfx_sw,mv_ripping,playground_sh,2000,0,3.7023085482545977,enc_res_intel_mfx_sw_mv_ripping_playground_sh_2000
2018,intel_mfx_sw,mv_ripping,playground_sh,4000,0,5.362464461783348,enc_res_intel_mfx_sw_mv_ripping_playground_sh_4000
2018,intel_svt_hevc,mv_ripping,playground_sh,1000,0,2.794723635141788,enc_res_intel_svt_hevc_mv_ripping_playground_sh_1000
2018,intel_svt_hevc,mv_ripping,playground_sh,2000,0,4.141960631905046,enc_res_intel_svt_hevc_mv_ripping_playground_sh_2000
2018,intel_svt_hevc,mv_ripping,playground_sh,4000,0,5.624082742728188,enc_res_intel_svt_hevc_mv_ripping_playground_sh_4000
2018,ks265,mv_ripping,playground_sh,1000,0,2.5616732591882885,enc_res_ks265_mv_ripping_playground_sh_1000
2018,ks265,mv_ripping,playground_sh,2000,0,4.395882471151687,enc_res_ks265_mv_ripping_playground_sh_2000
2018,ks265,mv_ripping,playground_sh,4000,0,6.030089656506966,enc_res_ks265_mv_ripping_playground_sh_4000
2018,sif,mv_ripping,playground_sh,1000,0,1.540415163758465,enc_res_sif_mv_ripping_playground_sh_1000
2018,sif,mv_ripping,playground_sh,2000,0,2.602794101852782,enc_res_sif_mv_ripping_playground_sh_2000
2018,sif,mv_ripping,playground_sh,4000,0,4.403183999548706,enc_res_sif_mv_ripping_playground_sh_4000
2018,sz264,mv_ripping,playground_sh,1000,0,0.9133895120065274,enc_res_sz264_mv_ripping_playground_sh_1000
2018,sz264,mv_ripping,playground_sh,2000,0,3.500744624979917,enc_res_sz264_mv_ripping_playground_sh_2000
2018,sz264,mv_ripping,playground_sh,4000,0,6.072082502729211,enc_res_sz264_mv_ripping_playground_sh_4000
2018,sz265,mv_ripping,playground_sh,1000,0,1.7786555814721667,enc_res_sz265_mv_ripping_playground_sh_1000
2018,sz265,mv_ripping,playground_sh,2000,0,3.5305503565560192,enc_res_sz265_mv_ripping_playground_sh_2000
2018,sz265,mv_ripping,playground_sh,4000,0,4.912721341533411,enc_res_sz265_mv_ripping_playground_sh_4000
2018,t265,mv_ripping,playground_sh,1000,0,4.035827997167873,enc_res_t265_mv_ripping_playground_sh_1000
2018,t265,mv_ripping,playground_sh,2000,0,5.421985003047928,enc_res_t265_mv_ripping_playground_sh_2000
2018,t265,mv_ripping,playground_sh,4000,0,6.21901171676371,enc_res_t265_mv_ripping_playground_sh_4000
2018,uc265,mv_ripping,playground_sh,1000,0,0.0,enc_res_uc265_mv_ripping_playground_sh_1000
2018,uc265,mv_ripping,playground_sh,2000,0,0.8128438200943,enc_res_uc265_mv_ripping_playground_sh_2000
2018,uc265,mv_ripping,playground_sh,4000,0,1.8183445319416636,enc_res_uc265_mv_ripping_playground_sh_4000
2018,vp9,mv_ripping,playground_sh,1000,0,2.9947634070574107,enc_res_vp9_mv_ripping_playground_sh_1000
2018,vp9,mv_ripping,playground_sh,2000,0,4.278746122251891,enc_res_vp9_mv_ripping_playground_sh_2000
2018,vp9,mv_ripping,playground_sh,4000,0,5.5357321720536365,enc_res_vp9_mv_ripping_playground_sh_4000
